#ORF	Ave. SD
YGR002C	57.5
YGR003W	
YGR004W	
YGR007W	114.0
YGR008C	1057.2
YGR010W	
YGR012W	61.5
YGR013W	
YGR014W	159.5
YGR015C	
YGR017W	157.0
YGR019W	471.0
YGR020C	1432.5
YGR021W	107.0
YGR024C	68.5
YGR026W	657.0
YGR027C	4317.2
YGR028W	
YGR030C	135.5
YGR031W	130.5
YGR033C	77.0
YGR034W	4947.5
YGR036C	253.0
YGR037C	1267.8
YGR038W	135.0
YGR040W	
YGR041W	
YGR042W	
YGR043C	
YGR044C	
YGR046W	
YGR047C	
YGR048W	134.0
YGR049W	
YGR052W	
YGR055W	596.0
YGR058W	
YGR060W	1203.0
YGR061C	2498.0
YGR062C	
YGR063C	359.8
YGR065C	256.5
YGR068C	
YGR071C	
YGR072W	82.0
YGR074W	182.5
YGR075C	103.0
YGR076C	103.8
YGR078C	242.0
YGR080W	170.5
YGR081C	129.5
YGR082W	631.5
YGR083C	370.0
YGR084C	335.0
YGR085C	3454.9
YGR086C	2506.5
YGR087C	
YGR088W	
YGR089W	
YGR090W	262.5
YGR091W	
YGR092W	129.0
YGR093W	
YGR094W	2574.0
YGR095C	118.5
YGR096W	
YGR097W	51.5
YGR098C	
YGR100W	
YGR101W	
YGR102C	85.9
YGR103W	332.5
YGR104C	
YGR105W	106.5
YGR106C	916.0
YGR108W	
YGR111W	53.5
YGR112W	70.5
YGR116W	460.5
YGR117C	58.5
YGR118W	1314.0
YGR119C	308.0
YGR120C	77.5
YGR121C	121.0
YGR122W	
YGR123C	223.0
YGR124W	2064.0
YGR125W	95.0
YGR126W	67.0
YGR128C	370.0
YGR129W	
YGR130C	624.5
YGR132C	64.0
YGR133W	
YGR134W	
YGR135W	803.5
YGR136W	381.0
YGR138C	200.0
YGR140W	
YGR142W	
YGR147C	171.5
YGR148C	3920.1
YGR149W	
YGR150C	
