ORF Name	Intensity
YML019W	157620000
YDR279W	137250000
YLR392C	2285900
YDR063W	658470000
YDR297W	1164700000
YHR004C	21845000
YKR019C	73502000
YER145C	1055800000
YGL112C	994420000
YDR435C	53318000
YOR093C	10425000
YPL218W	6032900000
YLR167W	1.35E+11
YOL130W	238580000
YDR180W	103190000
YDL134C	1475700000
YMR114C	35522000
YDL086W	914160000
YDL108W	66432000
YJL178C	2190500000
YML059C	615710000
YLR149C	90984000
YOR231W	115620000
YER136W	20708000000
YGL050W	323140000
YER061C	431320000
YEL018W	52152000
YDL021W	1612200000
YPR188C	1584000000
YLR072W	449290000
YDR002W	25471000000
YER182W	292040000
YDR287W	601310000
YNL079C	71714000000
YHR098C	4475300000
YJL036W	1136900000
YNL098C	11820000000
YIR035C	2421800000
YDR248C	607410000
YCR005C	6377700000
YLR131C	313620000
YMR113W	415420000
YDL141W	997000000
YCR009C	16165000000
YDR362C	89150000
YKL154W	1372800000
YKL152C	7.92E+11
YHL017W	15602000
YFR033C	383940000
YNL219C	1244900000
YDR033W	2057600000
YEL043W	919860000
YBL010C	18272000
YGL087C	3875500000
YIR030C	1023700
YML085C	4061500000
YCR012W	1.04E+12
YGR013W	233260000
YHL034C	25121000000
YOR207C	3580300000
YAL007C	8022500000
YJL068C	5125700000
YMR220W	4380400000
YHR045W	409060000
YDR361C	764960000
YPR084W	2132700
YLR066W	1569800000
YLR301W	9760700000
YMR288W	924450000
YLR216C	18119000000
YOL148C	46236000
YLR043C	1.28E+11
YFR019W	232760000
YMR240C	437120000
YNL310C	1221000000
YNL263C	135350000
YBR261C	4222100000
YOL005C	3825000000
YKR083C	425840000
YPL055C	122820000
YBR069C	562350000
YIL096C	47970000
YGR078C	4293800000
YNL035C	1427300000
YDL139C	236040000
YOR157C	4220000000
YNL259C	5992000000
YMR031C	26714000000
YHR072W	119470000
YOR075W	13601000
YPL133C	89262000
YMR228W	152300000
YKL106W	1604100000
YCR081W	4110900
YGR065C	100540000
YOR136W	20769000000
YHL013C	2171600000
YDR213W	23593000
YOR115C	110990000
YJL212C	54707000
YDL234C	605330000
YML055W	1984700000
YAL041W	779750000
YGR077C	2817000
YAL015C	89312000
YOR359W	571670000
YKL137W	207140000
YPL154C	23357000000
YPL123C	229560000
YOR261C	13065000000
YPL001W	909780000
YLR147C	1278400000
YIL030C	517490000
YOR298C-A	20368000000
YGL062W	11621000000
YDR513W	61128000000
YDR295C	1124900000
YBR253W	211510000
YMR297W	10535000000
YKR095W-A	1511200000
YOL129W	23027000
YMR227C	158900000
